dataset_key	article_ids	paper_dois	dataset_name	recovery_status	kg_ingestion_status	dataset_dois	verified_or_kg_source_urls	tei_repository_clues	existing_local_paths	tei_paths	source_owner_seed	retrieval_lead_seed	curation_notes_seed	tei_evidence_excerpt	next_action
greater_glasgow_respiratory_hospitalizations	N04	10.1007/s13253-025-00720-7	Greater Glasgow respiratory hospitalizations	pipeline_rds_built_manual_review	rds_fiche_and_kg_created_manual_review	10.32614/CRAN.package.CARBayesdata	https://cran.r-project.org/package=CARBayesdata | https://statistics.gov.scot/		data/raw/papers/N04_greater_glasgow_respiratory/cran/CARBayesdata_3.0/CARBayesdata_3.0.tar.gz;data/final_datasets/sf/paper_n04_glasgow_respiratory.rds;wiki/datasets/fiches_datasets/paper_n04_glasgow_respiratory.md	corpus\papers\tei\Statistical Inferences and Predictions for Areal Data and Spatial Data Fusion with Hausdorff-Gaussian Processes [N04].tei.xml			Official CRAN source archive downloaded and verified. respiratorydata.rda is documented as 134 Intermediate Zones north of the Clyde in 2010 with IZ, observed, expected, incomedep and SMR. GGHB.IZ.rda contains 271 sf polygons with IZ, name, geometry, easting and northing.		manually validate the generated fiche, formula and redistribution evidence before any package promotion
gulf_of_mexico_sea_surface_conductivity	C04	10.1016/j.jmva.2024.105381	Gulf of Mexico sea-surface conductivity	cited_public_sources_reconstruction_required			https://www.ncei.noaa.gov/products/world-ocean-atlas			corpus\papers\tei\C04.tei.xml	Oceanographic sources cited in C04	Follow references 13-14 and article supplement using DOI 10.1016/j.jmva.2024.105381	C04 cites NOAA/NCEI World Ocean Atlas product documentation in references 13–14. Its final table has 1,545 seasonal quarter-degree cells for 1978–2017, with conductivity derived from temperature, pressure and salinity collected by several platforms. The cited source is verified, but the exact aggregation is not deposited.	l quantile regression. Finally, the considered model is applied to two real data analyses, the first concerning rainfall measurements in Switzerland and the second concerning sea surface conductivity data in the Gulf of Mexico. Introduction In this work, we are interested in modelling the heterogeneous effects of complex spatial phenomena on the conditional quantiles of a response variable of interest, via nonparametric regression. Regression analysis is, in fact, a powerful and versatile tool for analysing the conditional distribution of noisy data given a set of covariates. However, it is generally recognised that the conditional mean i	recover the cited WOA vintages and seek author code/table before reconstructing the 0.25-degree seasonal conductivity values
hecm_originations	T03;T05	10.1016/j.jeconom.2016.12.001;10.1016/j.regsciurbeco.2017.03.007	US state HECM mortgage originations	public_sources_exact_panel_not_deposited			https://www.hud.gov/hud-partners/single-family-hecm-data			corpus\papers\tei\T03.tei.xml;corpus\papers\tei\T05.tei.xml	Sources following Haurin et al. 2016	Search author replication files and HECM/FHA data cited in T03/T05	T03/T05 analyze state-quarter HECM originations and public demographic/economic series. The papers describe construction but do not provide the exact assembled panel or time-varying weight matrices.	Spatial dynamic panel data models with interactive fixed effects Wei Shi Institute for Economic and Social Research Jinan University 510632 Guangzhou Guangdong China Lung-Fei Lee Department of Economics The Ohio State University 43210 Columbus Ohio United States Shanghai University of Finance Spatial dynamic panel data models with interactive fixed effects 8D9008D16B09BA9AFDF4946D127062C8 10.1016/j.jeconom.2016.12.001 Received date: 31 December 2014 Revised date: 23 December 2016 Accepted date: 23 December 2016 GROBID - A machine learning software for extracting information from scholarly documents 0.9.0-19-g62a9e9f89 startPage=- | model with time varying endogenous weights matrices and common factors ☆ Wei Shi Institute for Economic and Social Research Jinan University 510632 Guangzhou Guangdong China Lung-Fei Lee Department of Economics The Ohio State University 43210 Columbus OH United States A spatial panel data model with time varying endogenous weights matrices and common factors ☆ E6AE89846C936145EB0B79ED722DB65B 10.1016/j.regsciurbeco.2017.03.007 Received 9 September 2016; Received in revised form 25 March 2017; Accepted 28 March 2017 GROBID - A machine learning software for extracting information from scholarly documents 0.9.0-19-g62a9e9f89 startPage=-1, e	inventory HUD HECM, Census, FHFA and rate series and reproduce only after matching the paper's period, exclusions and weight definitions
irish_famine_electoral_divisions	G04	10.1080/24694452.2017.1352480	Irish Famine electoral divisions	candidate_replication_source_requires_exact_match						corpus\papers\tei\fotheringham2017_Wenbai Yang, and Wei Kang.tei.xml	Historical Irish census data	Search MGWR article supplement and Fotheringham Kelly Charlton 2013 source	The discussion reports a later Li/Fotheringham Figshare/GitHub replication lead, but no persistent identifier or repository URL was supplied and web verification did not yet establish that it contains the exact 2,317-ED, eight-predictor table used in G04.	tor selection in MGWR are conducted using a back-fitting algorithm. We compare the performance of GWR and MGWR by applying both frameworks to two simulated data sets with known properties and to an empirical data set on Irish famine. Results indicate that MGWR not only is superior in replicating parameter surfaces with different levels of spatial heterogeneity but provides valuable information on the scale at which different processes operate. Key Words: geographically weighted regression, multiscale, spatially varying coefficients, spatial nonstationarity. 尺度根本上是个地理的概念, 且有众多的既有文献, 探讨尺度在不同地理脉络中扮演的各种角色。但相 对而言, 少有研究提供不同过程操作的地理尺度之测量工具。我们于此展	obtain the claimed Figshare DOI/GitHub URL and compare row count, variables and ED identifiers against G04 before changing to a public exact-source status
irish_wind_data	C01	10.1016/j.jspi.2009.05.008	Irish wind data	downloaded_content_verified	pipeline_rds_built_paper_preprocessing_partial		gstat::wind; Haslett and Raftery (1989)		data\raw\papers\C01_irish_wind_gstat\wind.rda | data\final_datasets\sf\paper_irish_wind.rds	corpus\papers\tei\C01.tei.xml	Sources in Li et al. 2007	Retrieve the two datasets from cited paper supplement/source	Following Li, Genton and Sherman (2007), the loader excludes Roslare to retain 11 stations, removes February 29, creates sqrt_wind_speed, and labels the 1961-1970 training and 1971-1978 test periods. The papers also subtract a common seasonal component and training-estimated station means, but do not specify the seasonal basis sufficiently for a faithful implementation.	bility, which greatly reduces the dimension of the covariance matrix. Although symmetry and separability are desirable assumptions from a computational point of view, they may not be appropriate for real data, see, e.g. Irish wind data (Gneiting et al., 2007) . This motivates two lines of research: the development of parametric classes of covariance functions that allow space-time asymmetry and/or nonseparability (Cressie and Huang, 1999; Gneiting, 2002; Stein, 2005; Jun and Stein, 2007; Park and Fuentes, 2009) and formal statistical assessment of symmetry and separability for space-time data (Mitchell et al., 2005; Fuentes, 2006; Li et	recover the authors' preprocessing code or an exact definition of the common seasonal trend before creating the final velocity residual used in the symmetry/separability tests
king_county_houses	A03	10.1007/s10109-025-00481-4	King County houses	pipeline_rds_built_manual_review	not_ingested_source_known		https://github.com/ggeniaux/tds_mgwr_datasets		data/raw/papers/Geniaux2026_TopDownScale_GitHub/kc_house_data.csv | data/final_datasets/sf/paper_a03_king_house.rds	corpus\papers\tei\atds_mgwr_ghislain_geniaux.tei.xml			N=18788 after exact author filters yr_renovated=0, waterfront=0 and view<1; log price response; WGS84 coordinates.		Add KG relation, formula override and readiness evidence; generate and manually verify fiche before package export.
limiting_long_term_illness_data	G02	10.1111/1467-9884.00145	limiting long-term illness data	public_historical_source_reconstruction_required			https://www.nomisweb.co.uk/			corpus\papers\tei\G02.tei.xml	UK census-derived study data	Search variables LLTI DENSITY CROWD UNEMP with DOI 10.1111/1467-9884.00145	G02 identifies the 1991 UK Census and a multi-county ward-level extract in northern England. Census data are public through historical/ONS services, but the exact ward selection and derived standardised variables are not deposited.	for exploring this phenomenon, geographically weighted regression is introduced. A related Monte Carlo signi®cance test for spatial non-stationarity is also considered. Finally, an example of the method is given, using limiting longterm illness data from the 1991 UK census. Introduction The technique of linear regression has long resided in the analytical toolbox of the quantitative geographer. As a general technique for investigating the linkage between geographical variables, the method has featured in virtually countless publications. However, this is surprising in some respects, as the technique itself takes no account of location in i	reconstruct the 1991 ward table and boundaries only after recovering the precise study-area definition and formula from G02
lucas_county_housing_prices	A04	10.1016/j.regsciurbeco.2017.04.001	Lucas County housing prices	already_in_repo					data/final_datasets/sf/R_spData_house_house.rds;wiki/datasets/fiches_datasets/R_spData_house_house.md;wiki/datasets/r_package_docs/spData/topics/house.md	corpus\papers\tei\MGWR-SAR_Geniaux&Martinetti.tei.xml			The complete spData::house artifact is already normalized locally (25,357 Lucas County sales, 24 source variables). The current fiche formula is system-generated and must not be attributed to A04 before the empirical section is reconstructed.	o suggest a specification procedure to identify the correct spatial weight matrix for DGPs with spatial heterogeneity and spatial autocorrelation of the endogenous. We conclude the article with an empirical study on the Lucas County house price dataset, confirming the good performance of the proposed estimators. Introduction Usual spatial-econometric estimation frameworks, based on models with spatial autocorrelation and with a given spatial weight matrix are sometimes unfeasible in the presence of model misspecification. In fact, they are unable to disentangle between real spatial autocorrelation and the different sources of violation o	read A04 empirical specification and code its exact response, transformations and selected covariates as a paper-specific use of the existing RDS
macoma_balthica_abundance_in_dutch_wadden_sea	N03	10.1007/s13253-024-00619-9	Macoma balthica abundance in Dutch Wadden Sea	pipeline_rds_built_manual_review	rds_fiche_and_kg_created_manual_review		https://github.com/benee55/PICAR_Z_Code		data/raw/papers/N03_PICAR_Z/github_benee55_PICAR_Z_Code/PICAR_Z_Code-main.zip;data/final_datasets/sf/paper_n03_macoma_balthica.rds;wiki/datasets/fiches_datasets/paper_n03_macoma_balthica.md	corpus\papers\tei\A Class of Models for Large Zero-inflated Spatial Data [N03].tei.xml			Official PICAR-Z code repository verified. samples/datsc.csv contains 4,026 rows and the variables macoma, x, y, grid, mgs, silt, depth, oost and noord; GenerateData.R reads this table for the bivalve application.		manually validate the generated fiche, formula and redistribution evidence before any package promotion
massachusetts_birth_registry_and_pm2_5_exposure_study	C02	10.1093/biostatistics/kxv048	Massachusetts birth registry and PM2.5 exposure study	restricted_access_documented_manual_application			https://www.mass.gov/guides/available-public-health-research-datasets;https://www.mass.gov/info-details/learn-about-records-available-through-the-registry-of-vital-records-and-statistics-rvrs			corpus\papers\tei\C02.tei.xml	Massachusetts Birth Registry plus exposure model inputs	Request/access according to registry rules; retrieve exposure surfaces from cited source	C02 uses 70,340 singleton live births from the 2008 Massachusetts Birth Registry linked to geocoded maternal addresses and trimester PM2.5 predictions. Massachusetts states that confidential individual records are not public and may be made available only to qualified researchers approved by the Commissioner under M.G.L. c.111 section 24A; aggregate outputs can be requested separately. Contact: Vital.DataRequest@mass.gov. Existing public PM2.5 surfaces do not reproduce this linked microdataset.	essary and coverage greater than 99%. Data Example: Association between air pollution and low birthweight We applied our spatial SIMEX method to a study of birthweight and particulate matter exposure during pregnancy in Massachusetts. The objective of the study was to estimate the association between birthweight and PM 2.5 exposure during the second and third trimesters. The study population included all singleton live births in Massachusetts from the Massachusetts Birth Registry during 2008 (January 1 to December 31), a total of 70,340 births. Individual-level data on the mother and baby come from the Massachusetts Birth Registry. Confounders i	if this dataset is essential, submit a research access application to Massachusetts DPH/RVRS; otherwise retain paper metadata only and exclude individual birth records from automated recovery
meuse	A02;N05	10.1016/j.spasta.2025.100907;10.4230/LIPIcs.GIScience.2023.11	Meuse	already_in_repo					data/final_datasets/sf/R_sp_meuse_meuse.rds	corpus\papers\tei\A Low-Rank Bayesian Approach for Geoadditive Modeling [N05].tei.xml;corpus\papers\tei\Benchmarking Regression Models Under Spatial heterogeneity.tei.xml				"s, spatial features, and economic information. The forestation rate is given as four quantiles, which is problematic for the framing as a regression problem. The results must therefore be taken with a grain of salt. The Meuse river dataset 8 is another standard dataset for experimental spatial analysis [25] . It is a rather small collection of soil measurements including copper, cadmium, and zinc. Usually, this dataset is used to predict zinc concentration from the other soil measurements as well as from further contextual information. For preprocessing, we omit the categorical ""landuse"" variable and two incomplete samples. Finally, a da"	verify exact paper extract, variables and licence
mirs_satellite_total_precipitable_water	S08	10.1080/01621459.2015.1123632	MIRS satellite total precipitable water	public_archive_reconstruction_required			https://www.star.nesdis.noaa.gov/mirs/			corpus\papers\tei\S08.tei.xml	NOAA/NESDIS MIRS	Search S08 supplement and MIRS archive for the frozen hour	S08 identifies NOAA/NESDIS MiRS total precipitable water satellite retrievals. The source archive is public, but the paper uses a particular frozen hour/domain and no ready analysis subset is deposited.	liations=false, includeRawCitations=false, includeRawCopyrights=false, generateTeiIds=false, generateTeiCoordinates=[], flavor=null Basis functions Distributed computing Full-scale approximation Gaussian process Kriging Satellite data Automated sensing instruments on satellites and aircraft have enabled the collection of massive amounts of high-resolution observations of spatial fields over large spatial regions. If these datasets can be efficiently exploited, they can provide new insights on a wide variety of issues. However, traditional spatial-statistical techniques such as kriging are not computationally feasible for big datasets. We pro	extract date, hour, sensor, domain and quality filters from S08 and retrieve only that MiRS granule set
ncdc_precip_anomalies	S03;S06	10.1111/j.1467-9868.2011.01007.x;10.1198/016214508000000959	NCDC US precipitation anomalies	downloaded_content_verified			https://www.image.ucar.edu/Data/precip_tapering/		data/raw/papers/S03_S06_precipitation_anomalies/ucar_precip_tapering/taperexample.zip	corpus\papers\tei\S03.tei.xml;corpus\papers\tei\S06.tei.xml	National Climatic Data Center	Retrieve Johns et al. 2003/NCDC archive and reproduce each paper's subset	Official NCAR/UCAR example archive downloaded. It contains anom1962.RData and the R programs functions.R, infcalc.R, likcalc.R, maxlik.R, plotdata.R and timing.R used for the precipitation-anomaly example.	ains can be achieved by applying the tapering methods to large, irregularly spaced spatial data sets. An example of such a data set is a collection of observations from weather stations in the United States. We consider precipitation data from the National Climatic Data Center for the years 1895 to 1997. This data set was examined in detail by Johns et al. (2003) , who focused on imputing missing observations. In this analysis we consider yearly total precipitation anomalies, that is, yearly totals standardized by the long-run mean and standard deviation for each station. We illustrate the tapering methods using the precipitation anomalies from | le approx. 0.5 1 1.5 2 2.5 3 0.3 0.4 0.5 0.6 0.7 0.8 time MSPE (b) MSPE vs Time (large λ) Predictive process Covariance tapering Full-scale approx. 1 . Real data analysis We next illustrate our method using annual total precipitation anomalies at 7352 weather stations from the year 1962 in the United States. The annual precipitation anomalies are the annual rainfall totals standardized by subtracting the long-run mean and dividing the standard deviation for each station using the precipitation data from the National Climatic Data Center (NCDC) for the years 1895 to 1997 (Johns et al., 2003) , Kaufman et al. (2008) noticed no obvious nonstationar	load anom1962.RData with the repository R runtime, verify object dimensions and determine whether S06 uses this exact 1962 table or a distinct subset before creating the loader
new_york_city_covid_19_zcta_counts	G09	10.1080/13658816.2023.2250838	New York City COVID-19 ZCTA counts	pipeline_rds_built_manual_review	rds_fiche_and_kg_created_manual_review	10.6084/m9.figshare.21743021.v1	https://doi.org/10.6084/m9.figshare.21743021.v1		data/raw/papers/G09_Poisson_MGWR_NYC/figshare/21743021/nyc_all_data.csv;data/raw/papers/G09_Poisson_MGWR_NYC/figshare/21743021/NYC_replication_code_submission-IJGIS.ipynb;code/r_catalog/build_sf_datasets_papers.R;data/final_datasets/sf/paper_g09_nyc_covid_zcta.rds;wiki/datasets/fiches_datasets/paper_g09_nyc_covid_zcta.md	corpus\papers\tei\G09.tei.xml	NYC public health and census sources	Reconstruct from the sources and specification cited in DOI 10.1080/13658816.2023.2250838	Official CC BY 4.0 replication files downloaded and checked. Analytical CSV has 183 complete ZCTAs and 192 columns. Notebook final model: Positive ~ perc_black + heart_perc + pop_density + schools_per_mile + perc_pub_ast + perc_hispanic, Poisson log link with Total as offset/exposure. Source CRS is not declared in the paper or notebook. EPSG:2263 (NAD83 / New York Long Island, US survey feet) is assigned as a high-confidence reconstruction from official NYC metadata, MODZCTA provenance, and the observed coordinate extent; it remains documented as inferred rather than author-declared.	=false, includeRawCitations=false, includeRawCopyrights=false, generateTeiIds=false, generateTeiCoordinates=[], flavor=null Local Poisson regression spatial process scale multiscale geographically weighted Poisson model COVID-19 local scoring algorithm A recent addition to the suite of techniques for local statistical modeling is the implementation of the multiscale geographically weighted regression (MGWR), a multiscale extension to geographically weighted regression (GWR). Using a back-fitting algorithm, MGWR relaxes the restrictive assumption in GWR that all processes being modeled operate at the same spatial scale and allows the esti	manually validate the generated fiche, formula and redistribution evidence before any package promotion
northeastern_us_precipitation_hydrogen_isotopes	A05	10.5194/gmd-13-6149-2020	Northeastern US precipitation hydrogen isotopes	pipeline_rds_built_manual_review	raw_data_downloaded_pending_loader	10.5281/zenodo.3637689	https://doi.org/10.5281/zenodo.3637689		data/raw/papers/MediumPriorityRetry_10_5281_zenodo_3637689/extracted/quexiang-STWR-e29544f/Data_STWR/RealWorldData/precip_isotope_D3.csv | data/final_datasets/sf/paper_a05_precip_isotope.rds	corpus\papers\tei\A spatiotemporal weighted regression model for nontationarity.tei.xml			N=272 observations at 116 sites across three stages (90/109/73); formula d2h ~ ppt + tmean + Elevation; WGS84 EPSG:4326.	erformance of GWR, GTWR, and STWR. Results show that STWR significantly improves the quality of fit and accuracy. Similar results were obtained by using real-world data for precipitation hydrogen isotopes (δ 2 H) in the northeastern United States. The leave-one-out cross-validation (LOOCV) test demonstrates that, compared with GWR, the total prediction error of STWR is reduced by using recent observed points. Prediction surfaces of models in this case study show that STWR is more localized than GWR. Our research validates the ability of STWR to take full advantage of all the value variation of past observed points. We hope STWR can bring fresh	Add KG relation, formula override and readiness evidence; generate and manually verify fiche before package export.
nyc_airbnb	A03	10.1007/s10109-025-00481-4	NYC Airbnb	pipeline_rds_built_manual_review	not_ingested_source_known		https://github.com/ggeniaux/tds_mgwr_datasets		data/raw/papers/Geniaux2026_TopDownScale_GitHub/AB_NYC_2019.csv | data/final_datasets/sf/paper_a03_nyc_airbnb.rds	corpus\papers\tei\atds_mgwr_ghislain_geniaux.tei.xml			N=38782 after complete-case and 3<log1p(price)<8 filters; room type one-hot encoded; WGS84 coordinates.	ample locations as target points. When crossvalidation exceeds 8 h by fold for certain estimators, the computation is skipped. This occurs, for example, with multiscale_gwr for the VaucluseHousePrice, King_house, and NYCAirBnb datasets, as well as for computing the global AICc using the King_ house and NYCAirBnb datasets. The absence of results for Python MGWR on these two datasets is due to singularity issues encountered during local coefficient estimation, which do not affect the other estimators. Table 6 presents both in-sample and out-of-sample RMSE for each dataset and estimator. The results show that for small sample sizes, GWR outp	Add KG relation, formula override and readiness evidence; generate and manually verify fiche before package export.
pacific_ocean_wind	C01	10.1016/j.jspi.2009.05.008	Pacific Ocean wind	upstream_dataset_exact_file_not_found			https://doi.org/10.1016/j.jspi.2009.05.008			corpus\papers\tei\C01.tei.xml	Sources in Li et al. 2007	Retrieve the two datasets from cited paper supplement/source	C01/Li et al. describe east-west wind in the tropical western Pacific from November 1992 to February 1993: 480 six-hourly times on a 17 x 17 grid, with approximately 1.875-degree longitude and 1.9047-degree latitude spacing. No raw file has been located.	ve comparisons is that, to some Nominal level is 0.05. The largest standard error is 0.91%. The format is same as Table 3 . Real data illustration We revisit the two real data sets analyzed in Li et al. (2007) . For the Pacific Ocean wind data, it contains the east-west wind velocity from a region over the tropical western Pacific Ocean for the period from November 1992 to February 1993. The winds are given every 6 h and at a 17 × 17 grid with grid interval of about 210 km. Following Li et al. (2007) , we remove the time-averaged mean for each grid location and choose the same spatio-temporal testing lags as used in their paper, which resu	search the Li et al. and Wikle-Cressie supplements/software archives using these dimensions as acceptance checks; request the array if no archive survives
pan_european_regional_economic_growth	A10	10.1016/j.spasta.2018.10.004	Pan-European regional economic growth	mixed_public_and_proprietary_sources			https://ec.europa.eu/eurostat/			corpus\papers\tei\Flexible_shrinkage_in_high_dimensional_Bayesian_spatial_autoregressive_models_W2803996363.tei.xml			A10 lists variables from Eurostat and Cambridge Econometrics. Eurostat components are public, whereas Cambridge Econometrics regional series are commercial; the exact harmonised regional table is not deposited.	rs. Results suggest that they perform particularly well in high-dimensional environments, especially when the number of parameters to estimate exceeds the number of observations. For an empirical illustration we use pan-European regional economic growth data. Introduction In the regional economic literature, spatial econometric model specifications have gained momentum in empirical research as a means to explicitly account for spillover effects between geographically structured units. Increasing availability of data often results in (spatial autoregressive) models where the number of observations is relatively small compared to the number o	reconstruct public Eurostat variables and document Cambridge Econometrics access as the blocking component
parliamentary_elections_and_economic_growth	A08	10.1017/pan.2020.23	Parliamentary elections and economic growth	already_in_repo	converted_to_sf	10.7910/dvn/cy7ywe	https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/CY7YWE		data/final_datasets/sf/paper_wald_test.rds;data/raw/papers/DataCite_2020_TheWaldTestOf_10_1017_pan_2020	corpus\papers\tei\Juhl2020Wald.tei.xml				hts from the hitherto separated literatures on economic voting and spatial party competition. To assess the empirical support for the proposed mechanism, Williams and Whitten ( , -) analyze data on electoral contests in parliamentary democracies from to , where the parties constitute the unit of analysis. The change in a party's vote share between The application of bootstrap critical values can also improve the Wald test's power as Supplementary Material C. shows. Supplementary Material C. verifies the good performance of the LR test in the Monte Carlo simulations conducted here. two consecutive elections is the dependent variable and the count	verify exact paper extract, variables and licence
pittsburgh_monthly_crime_counts_by_census_tract	T08	10.1073/pnas.1917411117	Pittsburgh monthly crime counts by census tract	public_sources_exact_panel_not_deposited			https://data.wprdc.org/ | https://www.census.gov/			corpus\papers\tei\T08.tei.xml	Crime records plus Census 2000/Social Explorer	Search PNAS supplement and reference 1 using DOI 10.1073/pnas.1917411117	T08 reuses the 138-tract monthly Pittsburgh crime panel (2008–2013) assembled from police UCR records and Census 2000/Social Explorer variables. Current public portals expose related raw data, but the exact historic analytical panel and queen matrix are not attached to T08.	sly analyzed in ref. 1 by using a count model combined with a latent Gaussian spatiotemporal state process. It contains the monthly counts of crimes from January 2008 to December 2013 (72 mo) in the 138 census tracts in Pittsburgh, PA. These counts account for Part I and Part II offences, as defined in the Uniform Crime Reporting (UCR) handbook of the US Department of Justice (ref. 5, p. 8) . Part I offences consisted of 8 categories of serious felonies and Part II offences were classified into 21 categories of nonserious felonies and misdemeanors. Since the numbers of Part I offences and Part II offences are integers, we apply a logarithmic	inspect PNAS supplementary files and the upstream Liesenfeld replication materials before rebuilding from WPRDC and Census sources
plant_richness	A02	10.4230/LIPIcs.GIScience.2023.11	plant richness	pipeline_rds_built_manual_review			https://github.com/mie-lab/spatial_rf_python		data/raw/papers/A02_spatial_rf_python/data/plants.csv | data/final_datasets/sf/paper_a02_plants.rds	corpus\papers\tei\Benchmarking Regression Models Under Spatial heterogeneity.tei.xml			CRS explicitly documented by the cited spatialRF source: x=longitude and y=latitude in WGS84; EPSG:4326. The paper states 18 covariates, while the A02 CSV contains 17 non-coordinate predictors. Official replication commit 20d88253883492d81e62ae550a01ff2b8aaeed26; repository license MIT. Formula: richness_species_vascular ~ all 17 non-coordinate predictors present in the replication CSV.	"predict zinc concentration from the other soil measurements as well as from further contextual information. For preprocessing, we omit the categorical ""landuse"" variable and two incomplete samples. Finally, a dataset on plant richness is included that was used for validating spatial random forests 9 . Plant species richness is given for 227 ecoregions in America, and there are 18 covariates with information on topography, land use, human population, and climate. Results obtained from real-world data To validate the model selection tree presented in Figure 9 on real-world data, we first compute an indicator for the degree of non-stationar"	Add KG paper-dataset relation and fiche metadata; manually verify the fiche before package promotion.
pm2_5_and_meteorological_data	G06	10.1002/env.2485	PM2.5 and meteorological data	public_source_reconstruction_complete_manual_review	rds_fiche_and_kg_created_manual_review	10.6084/m9.figshare.5544445	https://aqs.epa.gov/aqsweb/airdata/download_files.html;https://psl.noaa.gov/data/gridded/data.narr.html;https://doi.org/10.1175/JCLI-D-12-00508.1;https://doi.org/10.6084/m9.figshare.5544445		data\raw\papers\DataCite_2017_EstimationAndInferenceIn_10_1002_env_2485;data/raw/papers/G06_PM25_meteorological/epa_airdata/2011_pm25_88101/daily_88101_2011.zip;data/raw/papers/G06_PM25_meteorological/noaa_psl_winter_2011_subsets;data/interim/papers/g06_pm25_meteorological_winter_2011.csv;tools/build_g06_pm25_meteorological.py;data/final_datasets/sf/paper_g06_pm25_meteorological.rds;wiki/datasets/fiches_datasets/paper_g06_pm25_meteorological.md	corpus\papers\tei\Estimation and inference in spatially varying coefficient models.tei.xml	Sources described in G06	Search article supplement using DOI 10.1002/env.2485	Reconstructed from the sources named in G06: EPA AQS daily PM2.5 for 2011, Livneh monthly grids for PPTN/Tmin/Tmax/WS, and NARR monthly grids for RH/TCDC. January, February and December are combined with day weights; EPA duplicate site-days are averaged; the domain is the conterminous US shown in Figure 7. The result has 838 complete monitoring sites. Exact author station selection and join code are not deposited, so this is a transparent reconstruction under manual review. Equation (16): PM25 ~ PPTN + RH + Tmin + Tmax + WS + TCDC, with spatially varying coefficients in BPST.	sthma, chronic bronchitis, lung cancer, and atherosclerosis. Many recent research works (Hu et al., 2013; Russell, Wang, &amp; McMahan, 2017; Tai, Mickley, &amp; Jacob, 2010) suggest that PM 2.5 concentrations depend on meteorological conditions. To improve current pollution control strategies, there is an urgent need for a more comprehensive understanding of PM 2.5 and a more accurate quantification between the meteorological drivers and the levels of PM 2.5 . In this section, we show the applicability of the proposed SVCM on a meteorological data set to study the effects of meteorological characteristics on air quality. In our study, daily mean	compare n=838 and variable summaries with any obtainable author output; generate the sf RDS through the loader when R is available; do not promote before exact-sample validation
political_competition_across_chinese_cities	T07	10.1016/j.jeconom.2020.05.016	political competition across Chinese cities	public_statistical_sources_exact_panel_not_deposited						corpus\papers\tei\T07.tei.xml	Sources described in T07	Search article replication package using DOI 10.1016/j.jeconom.2020.05.016	T07 uses 338 prefecture-level cities in 27 provinces, 2010–2013. The paper and supplement describe cities and variables but do not deposit the assembled investment panel.	ance-covariance matrix of the M-estimators, which again depends only on the process starting time. Monte Carlo results demonstrate that the proposed methods perform well in finite sample. An empirical application on the political competition in China is presented. Introduction Consider the spatial dynamic panel data (SDPD) model where the spatial effects appear in the model in the forms of spatial lag (SL), space-time lag (STL), and spatial error (SE): y t = ρy t-1 + λ 1 W 1 y t + λ 2 W 2 y t-1 + X t β + Z γ + µ + α t 1 n + u t , (1.1) u t = λ 3 W 3 u t + v t , t = 1, 2, . . . , T , where y t = (y 1t , y 2t , . . . , y nt ) ′ and v t = (v 1t	extract each cited Chinese statistical source and variable definition from T07, then assess reproducibility and licensing of the yearbook data
sovereign_bond_spreads_for_51_countries	T06	10.1016/j.regsciurbeco.2020.103520	sovereign bond spreads for 51 countries	public_sources_reconstruction_required			https://databank.worldbank.org/source/global-economic-monitor-(gem) | https://www.imf.org/en/Publications/WEO/weo-database			corpus\papers\tei\T06.tei.xml	Sources described in T06	Search article replication package using DOI 10.1016/j.regsciurbeco.2020.103520	T06 identifies World Bank GEM/EMBIG for emerging-market spreads and IMF WEO for macroeconomic covariates. The exact 51-country 2007–2012 panel is not deposited.	fferences. Monte Carlo results show that the proposed M-estimators have good finite sample performance. The practical importance and relevance of allowing for heteroskedasticity in the model is illustrated using data on sovereign risk spillover. Introduction The spatial dynamic panel data (SDPD) models have become over the years more and more popular among the theoretical and applied researchers for being able to capture the dynamic effects as well as the effects of spatial interactions. Much attention has been paid * We thank Co-Editor, Stephen Ross, and the two anonymous referees for their constructive comments that have led to improvement	retrieve vintage-consistent GEM and WEO series and reproduce the country list, advanced-economy spread calculation and weights
switzerland_rainfall	C04	10.1016/j.jmva.2024.105381	Switzerland rainfall	already_in_repo					data/final_datasets/sf/paper_swiss_rainfall.rds;data/final_datasets/sf/R_gstat_sic97_sic_obs.rds;wiki/datasets/fiches_datasets/paper_swiss_rainfall.md	corpus\papers\tei\C04.tei.xml	Oceanographic sources cited in C04	Follow references 13-14 and article supplement using DOI 10.1016/j.jmva.2024.105381	The SIC97 data (467 rainfall observations on 8 May 1986) are already present. C04 uses the response as a spatial quantile surface without conventional X covariates; do not reuse the OGC formula as if it were C04's model.	sessed by simulation studies, comparing with state-of-the-art techniques for spatial quantile regression. Finally, the considered model is applied to two real data analyses, the first concerning rainfall measurements in Switzerland and the second concerning sea surface conductivity data in the Gulf of Mexico. Introduction In this work, we are interested in modelling the heterogeneous effects of complex spatial phenomena on the conditional quantiles of a response variable of interest, via nonparametric regression. Regression analysis is, in fact, a powerful and versatile tool for analysing the conditional distribution of noisy data given a set	add the C04 paper-dataset relation and document C04's quantile-surface use separately from the existing Moller OGC benchmark specification
