rank,paper_title,authors,year,DOI,citation_count_text,citation_count,citation_source,checked,already_in_corpus,domain,estimator_keywords,dataset_name,dataset_topic,dataset_size_if_available,response_variable,predictors_or_covariates,coordinates_or_geometry,W_or_neighbor_structure_if_available,regression_formula_or_model_specification,formula_status,metrics,access_class,data_access_url,code_url,open_access_pdf_url,reason_for_selection,ingestion_priority,verification_notes,sources
5,Structural covariates of U.S. county homicide rates: Incorporating spatial effects,Robert D. Baller; Luc Anselin; Steven F. Messner; Glenn Deane; Darnell F. Hawkins,2001,10.1111/j.1745-9125.2001.tb00933.x,non vérifié,,non vérifié,2026-08-04,uncertain,crime / policing / inequality,SAR; spatial regimes; spatial lag; ESDA,"U.S. county homicide panel, decennial years 1960–1990",county homicide rates,U.S. counties over four decennial cross-sections,homicide rate,"structural disadvantage, inequality, population structure, social integration and regional indicators",U.S. county polygons,county contiguity / spatial weights; precise normalization to extract,county homicide regression with spatial effects and regional regimes,partial,Moran’s I; LISA; logLik; coefficient tests,covariate sources only,non trouvé,non trouvé,non trouvé,"Crime benchmark with a clear response, repeated cross-sections and explicit spatial effects.",high,"Underlying NCHS/Census sources are public, but a consolidated analysis file was not located.",https://doi.org/10.1111/j.1745-9125.2001.tb00933.x ; https://ojp.gov/ncjrs/virtual-library/abstracts/structural-covariates-us-county-homicide-rates-incorporating
7,US regional income convergence: A spatial econometric perspective,Sergio J. Rey; Brett D. Montouri,1999,10.1080/00343409950122945,non vérifié,,non vérifié,2026-08-04,uncertain,income / inequality / regional economics,SAR; SEM; spatial convergence; Moran’s I,"U.S. state regional income, 1929–1994",regional income convergence,contiguous U.S. states over 1929–1994,per-capita income growth / convergence,initial income and convergence controls; exact empirical list to extract,U.S. state polygons,state contiguity and alternative spatial weights,spatial beta-convergence models with lag/error alternatives,partial,Moran’s I; logLik; coefficient tests; convergence speed,covariate sources only,non trouvé,non trouvé,https://web.pdx.edu/~crkl/WISE/SEAUG/papers/Rey_RS99.pdf,Classic spatial-econometric regional benchmark with a long panel and clear W construction.,high,"BEA source is public, but the historical analysis-ready file was not located.",https://doi.org/10.1080/00343409950122945 ; https://web.pdx.edu/~crkl/WISE/SEAUG/papers/Rey_RS99.pdf
38,An ensemble-based model of PM2.5 concentration across the contiguous United States with high spatiotemporal resolution,Qian Di et al.,2019,10.1016/j.envint.2019.104909,non vérifié,,non vérifié,2026-08-04,uncertain,health / air pollution,ensemble ML; spatial prediction; spatiotemporal CV,"U.S. daily PM2.5, 2000–2015",air-pollution exposure,"2,156 monitoring sites reported",daily PM2.5 concentration at 1 km,"satellite AOD, meteorology, land use, elevation, chemical transport models and reanalysis",monitor coordinates and 1-km raster grid,spatial/temporal learners and held-out monitor structure; no single W,ensemble of machine-learning exposure models,partial,R²; RMSE; bias; spatial and temporal CV,covariate sources only,non trouvé,non trouvé,non trouvé,Strong high-dimensional spatiotemporal benchmark with clear response and validation metrics.,high,Integrated training data/code were not confirmed; many input sources are public but require reconstruction.,https://doi.org/10.1016/j.envint.2019.104909
2,Hedonic housing prices and the demand for clean air,David Harrison; Daniel L. Rubinfeld,1978,10.1016/0095-0696(78)90006-2,332,332,EconPapers (compteur affiché),2026-08-04,uncertain,housing / environment,hedonic regression; OLS,Boston Housing,housing prices and air pollution,506 census tracts,MEDV (median value of owner-occupied homes),"13 variables structurelles, socioéconomiques et environnementales, dont NOX, RM, LSTAT, TAX",census tracts; la version UCI courante ne fournit pas directement la géométrie,non trouvé; géométrie/W à reconstruire,MEDV ~ CRIM + ZN + INDUS + CHAS + NOX + RM + AGE + DIS + RAD + TAX + PTRATIO + B + LSTAT,explicit,R²; erreurs; tests économétriques,directly downloadable,https://archive.ics.uci.edu/dataset/53/housing,non trouvé,non trouvé,Benchmark historique avec réponse et covariables explicites; utile si la géométrie est reconstruite.,medium,"Le fichier UCI est directement exploitable pour la régression, mais pas comme benchmark spatial complet sans coordonnées/W.",https://doi.org/10.1016/0095-0696(78)90006-2 ; https://archive.ics.uci.edu/dataset/53/housing
33,"LUCAS Topsoil Survey: Methodology, data and results",Gergely Tóth et al.,2013,non trouvé,non vérifié,,non vérifié,2026-08-04,uncertain,soil / Europe / data paper,dataset publication; descriptive spatial analysis,LUCAS Topsoil Survey,European soil observations,"approximately 20,000 sampling locations; exact release count to verify",measured topsoil physical and chemical properties,"land cover/use, survey design and laboratory measurements",georeferenced sampling points,sampling design rather than a model-specific W,no benchmark regression formula in the data/methodology paper,not_found,descriptive statistics; QA/QC metrics,directly downloadable,https://esdac.jrc.ec.europa.eu/projects/lucas,non trouvé,non trouvé,"Foundational source for a large, public European soil benchmark.",medium,"Primarily a dataset/methodology source, not a regression-comparison paper.",https://esdac.jrc.ec.europa.eu/projects/lucas
40,Maximum entropy modeling of species geographic distributions,Steven J. Phillips; Robert P. Anderson; Robert E. Schapire,2006,10.1016/j.ecolmodel.2005.03.026,"15,829",15829,Scopus via Princeton research portal,2026-08-04,uncertain,biodiversity / species distribution,Maxent; presence-only; spatial prediction,species occurrence and environmental-raster case studies,species distribution,multiple species datasets,presence-only occurrence,bioclimatic and environmental raster covariates,occurrence point coordinates and prediction raster,background points / spatial raster support rather than W,maximum-entropy presence-only model,explicit,AUC; omission rate; predictive accuracy,mentioned but not accessible,non trouvé,https://biodiversityinformatics.amnh.org/open_source/maxent/,non trouvé,"Extremely cited and useful for spatial prediction, but original case-study files were not confirmed.",medium,Best ingested as a method plus separately verified public species datasets.,https://doi.org/10.1016/j.ecolmodel.2005.03.026 ; https://biodiversityinformatics.amnh.org/open_source/maxent/
11,Geographically weighted regression: A method for exploring spatial nonstationarity,Chris Brunsdon; A. Stewart Fotheringham; Martin Charlton,1996,10.1111/j.1538-4632.1996.tb00936.x,"2,981",2981,SciSpace,2026-08-04,uncertain,GWR methodology,GWR; bandwidth selection; local regression,empirical GWR illustration in the article,spatially nonstationary relationships,non vérifié,continuous response in local regressions,covariates vary by the empirical illustration; exact list to extract,"observation coordinates (u_i, v_i)",kernel weights based on distance and bandwidth,"y_i = β0(u_i,v_i) + Σ_k βk(u_i,v_i)x_ik + ε_i",explicit,AIC-type diagnostics; local coefficients; residual diagnostics,mentioned but not accessible,non trouvé,non trouvé,non trouvé,Foundational GWR article with an explicit generic model and exceptionally high impact.,medium,Method is essential; ingestion value depends on recovering the original illustration dataset.,https://doi.org/10.1111/j.1538-4632.1996.tb00936.x
4,Specification and estimation of hedonic housing price models,Ayşe Can,1992,10.1016/0166-0462(92)90039-4,632,632,SciSpace,2026-08-04,uncertain,housing / real estate,SAR; spatial hedonic; OLS; ML,urban housing price application,housing prices,non vérifié,housing price,"structural, neighborhood and accessibility covariates; exact list non extraite",georeferenced housing units / neighborhoods,spatial lag or spatial disturbance structures considered; exact W à extraire,alternative traditional and spatial autoregressive hedonic specifications,partial,logLik; specification tests; model fit,mentioned but not accessible,non trouvé,non trouvé,non trouvé,Article très cité et directement pertinent pour les spécifications SAR/SEM hédoniques.,medium,DOI et objet du papier vérifiés; dataset et formule empirique exacte non extraits.,https://doi.org/10.1016/0166-0462(92)90039-4
48,Fast geographically weighted regression (FastGWR): A scalable algorithm to investigate spatial process heterogeneity in millions of observations,Ziqi Li; A. Stewart Fotheringham; Wenwen Li; Taylor Oshan,2019,10.1080/13658816.2018.1521523,79,79,Scopus via Arizona Board of Regents,2026-08-04,uncertain,housing / big geospatial data,FastGWR; GWR; scalable local regression,Los Angeles Zillow single-family residential properties,large-scale house prices,approximately 1.3 million properties,single-family house price,hedonic housing characteristics and location variables; exact list to extract,property point coordinates,distance-kernel GWR neighborhoods and bandwidth,large-scale hedonic GWR calibrated with FastGWR,partial,AICc/CV; RMSE; runtime; coefficient surfaces,mentioned but not accessible,Zillow source; analysis snapshot not publicly located,non trouvé,https://eprints.gla.ac.uk/253361/,Unique million-record housing benchmark; data access is the main limitation.,medium,Recent central exception. Do not mark directly reproducible until the exact Zillow snapshot/licence is resolved.,https://doi.org/10.1080/13658816.2018.1521523 ; https://eprints.gla.ac.uk/253361/
9,"The spatial concentration of tourist activity in Barcelona: A geospatial analysis of Airbnb, hotels and tourist attractions",Javier Gutiérrez; Juan Carlos García-Palomares; Gustavo Romanillos; María Henar Salas-Olmedo,2017,10.1016/j.tourman.2017.05.003,non vérifié,,non vérifié,2026-08-04,uncertain,Airbnb / tourism / urban studies,spatial autocorrelation; kernel density; ESDA,"Barcelona Airbnb, hotels, attractions and geotagged photographs",tourism spatial concentration,non vérifié,tourist activity intensity / accommodation density,"Airbnb attributes, hotel supply, attractions and geotagged-photo indicators",point coordinates and urban spatial units,distance/neighborhood structures used for spatial concentration; exact W non extraite,spatial pattern analysis; no single regression formula confirmed,not_found,Moran-type diagnostics; density/concentration measures,mentioned but not accessible,non trouvé,non trouvé,non trouvé,"High-value Airbnb/urban spatial dataset, though the original snapshot is not openly located.",medium,Prioritize only if a reproducible historical Airbnb snapshot can be recovered.,https://doi.org/10.1016/j.tourman.2017.05.003
6,The spatial patterning of county homicide rates: An application of exploratory spatial data analysis,Steven F. Messner; Luc Anselin; Robert D. Baller; Darnell F. Hawkins; Glenn Deane; Stewart E. Tolnay,1999,10.1023/A:1007544208712,non vérifié,,non vérifié,2026-08-04,uncertain,crime / urban studies,Moran’s I; LISA; ESDA,U.S. county homicide rates,county homicide rates,U.S. counties,homicide rate,county structural characteristics; exact list to extract,U.S. county polygons,county contiguity weights,exploratory spatial analysis rather than a full regression benchmark,not_found,global Moran’s I; local Moran/LISA,covariate sources only,non trouvé,non trouvé,https://citeseerx.ist.psu.edu/document doi=de4261ff2d1885116c6fbe483fb9433fae3a4255&repid=rep1&type=pdf,Canonical Moran/LISA crime case; useful for residual-spatial-diagnostic benchmarks.,medium,"Strong dataset topic, but the paper is primarily ESDA and the consolidated data file was not found.",https://doi.org/10.1023/A:1007544208712 ; https://citeseerx.ist.psu.edu/document doi=de4261ff2d1885116c6fbe483fb9433fae3a4255&repid=rep1&type=pdf
8,"Exploratory spatial data analysis of the distribution of regional per capita GDP in Europe, 1980–1995",Julie Le Gallo; Cem Ertur,2003,10.1111/j.1435-5597.2003.tb00010.x,non vérifié,,non vérifié,2026-08-04,uncertain,income / inequality / regional economics,Moran’s I; LISA; spatial heterogeneity,"European regional GDP, 1980–1995",regional per-capita GDP,138 European regions,regional per-capita GDP,time-varying regional GDP indicators; regression covariates limited,European regional polygons,regional contiguity / distance weights,primarily ESDA; no single benchmark regression formula identified,not_found,global Moran’s I; local Moran/LISA; dispersion diagnostics,covariate sources only,non trouvé,non trouvé,non trouvé,Useful areal dataset for Moran diagnostics and spatial heterogeneity across Europe.,medium,Official Wiley DOI verified; exact historical geography and data snapshot should be reconstructed.,https://doi.org/10.1111/j.1435-5597.2003.tb00010.x
20,Spatially varying coefficient modeling for large datasets: Eliminating N from spatial regressions,Daisuke Murakami; Daniel A. Griffith,2019,10.1016/j.spasta.2019.02.003,52,52,ScienceDirect / indexed count reported in prior search,2026-08-04,yes,housing / land prices / ESF,M-SVC; ESF; GWR; spmoran,land price analysis plus Monte Carlo simulations,land prices,real sample size non vérifié,land price,land-price covariates; exact empirical list to extract,georeferenced land-price observations,symmetric proximity matrix C; Moran eigenvectors,"y(s_i) = Σ_k x_k(s_i)β_k(s_i) + ε(s_i), with Moran-eigenvector SVC components",explicit,RMSE; bias; runtime; AIC/BIC/logLik,directly downloadable,https://cran.r-project.org/package=spmoran,https://cran.r-project.org/package=spmoran,https://arxiv.org/pdf/1807.09681,"Explicit SVC formula and scalable implementation, but already referenced in the local project.",low,Local plan lists this reference; exact empirical dataset availability in spmoran should be checked.,https://doi.org/10.1016/j.spasta.2019.02.003 ; https://arxiv.org/abs/1807.09681 ; https://cran.r-project.org/package=spmoran
13,Multiscale geographically weighted regression (MGWR),A. Stewart Fotheringham; Wenbai Yang; Wei Kang,2017,10.1080/24694452.2017.1352480,non vérifié,,non vérifié,2026-08-04,yes,GWR / regional history,MGWR; GWR; SGWR; bandwidth selection,Irish famine dataset plus simulations,famine and regional demographic outcomes,empirical sample size non vérifié,famine-related regional outcome,"population density on cropped land, grain cultivation, holding size, workhouse and urban proximity, potato cultivation, coast distance, elevation",Irish areal units / coordinates,kernel neighborhoods with one bandwidth per coefficient,y_i = β0(s_i;b0) + Σ_j βj(s_i;bj)x_ij + ε_i,explicit,RSS; RMSE; AICc; runtime; bandwidth recovery,directly downloadable,non trouvé,https://github.com/pysal/mgwr,non trouvé,"Core MGWR benchmark, but already represented in the local corpus.",low,"Local ingestion summary confirms the paper, formula, Irish-famine variables and metrics.",https://doi.org/10.1080/24694452.2017.1352480 ; https://github.com/pysal/mgwr
27,Predictive mapping of soil-landscape relationships in the Ecuadorian Andes,Jannes Muenchow; Alexander Brenning; Michael Richter,2012,10.1016/j.geomorph.2011.10.029,non vérifié,,non vérifié,2026-08-04,yes,land use / landslides / terrain,GAM; SVM; spatial CV,spDataLarge::lsl,landslide susceptibility,350 observations,lslpts (landslide presence/absence),"slope, cplan, cprof, elev, log10_carea",x and y coordinates,spatial resampling / neighborhood structure used for evaluation; no fixed econometric W,lslpts ~ slope + cplan + cprof + elev + log10_carea,explicit,AUC; error rates; spatial-transfer diagnostics,directly downloadable,https://r-spatial.github.io/spDataLarge/reference/lsl.html,https://github.com/Nowosad/spDataLarge,non trouvé,"Excellent compact classification benchmark with explicit formula and coordinates, but already curated locally.",low,"Local presentation confirms n=350, variables, coordinates and the exact formula.",https://doi.org/10.1016/j.geomorph.2011.10.029 ; https://r-spatial.github.io/spDataLarge/reference/lsl.html
23,Revisiting Guerry’s data: Introducing spatial constraints in multivariate analysis,Stéphane Dray; Thibaut Jombart,2011,10.1214/10-AOAS356,non vérifié,,non vérifié,2026-08-04,yes,crime / education / moral statistics,Moran eigenvectors; spatial PCA; multivariate ESDA,"Guerry moral statistics, French departments","crime, education and social indicators",85 French departments in the standard dataset,"multiple possible outcomes: crime, literacy, donations, suicides and related indicators",Guerry social and moral-statistics variables,French department polygons / centroids,department adjacency / spatial constraints,multivariate spatial methods; no single canonical regression formula,not_found,Moran-type spatial criteria; variance explained,directly downloadable,https://cran.r-project.org/package=Guerry,https://doi.org/10.1214/10-AOAS356SUPP,https://arxiv.org/pdf/1202.6485,"Rich, open, historically important spatial dataset, but already present in the local corpus.",low,Local library contains the GROBID extraction of this paper.,https://doi.org/10.1214/10-AOAS356 ; https://cran.r-project.org/package=Guerry ; https://arxiv.org/abs/1202.6485
14,Multiscale geographically and temporally weighted regression: Exploring the spatiotemporal determinants of housing prices,Chen Wu; F. Ren; W. Hu; Q. Du,2019,10.1080/13658816.2018.1545158,non vérifié,,non vérifié,2026-08-04,yes,housing / spatiotemporal,MGTWR; GTWR; MGWR; hedonic regression,"Shenzhen housing prices, 2010–2017",housing prices over space and time,non vérifié,housing price / average yuan per square metre,"FEE, GREEN, PLOT, PARKING, CBD, DC, rail, metro, bus, park, hospital, schools, mixedness, population",transaction/development coordinates plus time,spatiotemporal distance kernels with variable-specific spatial and temporal bandwidths,"y_i = β0(u_i,v_i,t_i) + Σ_k βk(u_i,v_i,t_i;bS_k,bT_k)x_ik + ε_i",explicit,R²; adjusted R²; RSS; RMSE; AICc; bandwidths,mentioned but not accessible,non trouvé,non trouvé,non trouvé,"Excellent data-schema example, but already ingested locally and no open data deposit was confirmed.",low,"Local corpus summary confirms variables, models and metrics; data access remains unverified.",https://doi.org/10.1080/13658816.2018.1545158
3,Spatial autocorrelation and neighborhood quality,Robin A. Dubin,1992,10.1016/0166-0462(92)90038-3,non vérifié,,non vérifié,2026-08-04,uncertain,housing / real estate,spatial error; covariance model; hedonic regression,housing application used by Dubin,housing prices,non vérifié,house price / neighborhood quality,housing characteristics and neighborhood attributes; exact list non extraite,geocoded housing observations; exact geometry non vérifiée,covariance/neighbor structure defined through spatial distance; exact form à extraire,hedonic regression with spatially autocorrelated disturbances,partial,logLik; likelihood-based diagnostics,mentioned but not accessible,non trouvé,non trouvé,non trouvé,Référence classique reliant modèle hédonique et autocorrélation spatiale.,low,"Les métadonnées bibliographiques sont vérifiées; le jeu, les variables et l’accès doivent être relus dans le PDF.",https://doi.org/10.1016/0166-0462(92)90038-3
39,Spatial analysis of air pollution and mortality in Los Angeles,Michael Jerrett et al.,2005,10.1097/01.ede.0000181630.15826.7d,non vérifié,,non vérifié,2026-08-04,uncertain,health / mortality / air pollution,spatial survival; Cox regression; exposure surfaces,American Cancer Society Los Angeles cohort,mortality and PM2.5 exposure,"22,905 subjects; 5,856 deaths reported",all-cause and cause-specific mortality,PM2.5 exposure and individual-level confounders,residential locations / small-area exposure surfaces,spatial exposure model; neighborhood structure varies,spatially refined Cox proportional-hazards models,partial,hazard ratios; likelihood; sensitivity analyses,mentioned but not accessible,restricted cohort; no public analysis dataset,non trouvé,non trouvé,"Influential health-spatial-regression application, useful mainly as a restricted-data reference.",low,Not suitable for automated benchmark ingestion without a synthetic or public surrogate.,https://doi.org/10.1097/01.ede.0000181630.15826.7d
19,Random effects specifications in eigenvector spatial filtering: A simulation study,Daisuke Murakami; Daniel A. Griffith,2015,10.1007/s10109-015-0213-7,non vérifié,,non vérifié,2026-08-04,uncertain,ESF methodology,RE-ESF; Moran eigenvectors; random effects,Monte Carlo simulation datasets,spatial autocorrelation and coefficient estimation,simulated,simulated continuous response,simulated covariates,simulated spatial units / coordinates,Moran eigenvectors derived from a spatial proximity matrix C,random-effects eigenvector spatial filtering; simulation DGP explicit in paper,explicit,RMSE; bias; computation time; likelihood criteria,methodological without exploitable dataset,non trouvé,https://cran.r-project.org/package=spmoran,non trouvé,"Central RE-ESF methodology, useful for synthetic benchmark design rather than real-data ingestion.",low,"No clearly identified real, downloadable benchmark dataset found.",https://doi.org/10.1007/s10109-015-0213-7 ; https://cran.r-project.org/package=spmoran
