paper_title,authors,year,DOI,citation_count,already_in_corpus,domain,estimator_keywords,dataset_name,dataset_topic,dataset_size_if_available,response_variable,predictors_or_covariates,coordinates_or_geometry,W_or_neighbor_structure_if_available,regression_formula_or_model_specification,formula_status,data_access_url,code_url,open_access_pdf_url,reason_for_selection,ingestion_priority,verification_notes,source_url,matched_query
"The influence of meteorological factors and terrain on air pollution concentration and migration: a geostatistical case study from Krakow, Poland",Tomasz Danek; Elżbieta Węglińska; Mateusz Zaręba,2022,10.1038/s41598-022-15160-3,81,no,health / epidemiology; soil / geochemistry / pollution; transport / mobility,GWR,non vérifié,health / epidemiology; soil / geochemistry / pollution; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.nature.com/articles/s41598-022-15160-3.pdf,"empirical/case-study dataset likely, manual verification required; citations=81; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1038/s41598-022-15160-3,health mortality spatial regression GWR dataset
An ecological analysis of PM <sub>2.5</sub> concentrations and lung cancer mortality rates in China,Jingying Fu; Dong Jiang; Gang Lin; Kun Liu; Qiao Wang,2015,10.1136/bmjopen-2015-009452,81,no,health / epidemiology,GWR,non vérifié,health / epidemiology,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://bmjopen.bmj.com/content/bmjopen/5/11/e009452.full.pdf,"spatial dataset likely, manual verification required; citations=81; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1136/bmjopen-2015-009452,health mortality spatial regression GWR dataset
Spatiotemporal variation and driving factors of water yield services on the Qingzang Plateau,Xiaofeng Wang; Bingyang Chu; Xiaoming Feng; Yuehao Li; Bojie Fu; Shirong Liu; et al.,2021,10.1016/j.geosus.2021.02.002,73,no,agriculture / crop yield; climate / weather,GWR,non vérifié,agriculture / crop yield; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S2666683921000043/pdf,"spatial dataset likely, manual verification required; citations=73; query=crop yield spatial regression GWR random forest dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.geosus.2021.02.002,crop yield spatial regression GWR random forest dataset
Contribution analysis on spatial tradeoff/synergy of Karst soil conservation and water retention for various geomorphological types: Geographical detector application,Jiangbo Gao; Yuan Jiang; Yaakov Anker,2021,10.1016/j.ecolind.2021.107470,72,no,agriculture / crop yield; soil / geochemistry / pollution; climate / weather; land use / biodiversity,GWR,non vérifié,agriculture / crop yield; soil / geochemistry / pollution; climate / weather; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S1470160X21001357/pdf,"empirical/case-study dataset likely, manual verification required; citations=72; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.ecolind.2021.107470,health mortality spatial regression GWR dataset
"Associations between spatial access to medical facilities and health-seeking behaviors: A mixed geographically weighted regression analysis in Shanghai, China",Yue Shen; Yinhua Tao,2022,10.1016/j.apgeog.2022.102644,71,no,health / epidemiology; transport / mobility,GWR,non vérifié,health / epidemiology; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S0143622822000157/pdf,"spatial dataset likely, manual verification required; citations=71; query=multiscale geographically weighted regression dataset MGWR",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.apgeog.2022.102644,multiscale geographically weighted regression dataset MGWR
Spatio-temporal distribution of tuberculosis and the effects of environmental factors in China,Hao Li; Miao Ge; Mingxin Zhang,2022,10.1186/s12879-022-07539-4,67,no,health / epidemiology; climate / weather,GWR,non vérifié,health / epidemiology; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://bmcinfectdis.biomedcentral.com/counter/pdf/10.1186/s12879-022-07539-4,"spatial dataset likely, manual verification required; citations=67; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/s12879-022-07539-4,health mortality spatial regression GWR dataset
Urban Vibrancy: An Emerging Factor that Spatially Influences the Real Estate Market,Alice Barreca; Rocco Antonio Curto; Diana Rolando,2020,10.3390/su12010346,65,no,housing / real estate; transport / mobility,SAR,non vérifié,housing / real estate; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2071-1050/12/1/346/pdf?version=1577866501,"spatial dataset likely, manual verification required; citations=65; query=housing price spatial econometrics GWR SAR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/su12010346,housing price spatial econometrics GWR SAR dataset
NO2 and Cancer Incidence in Saudi Arabia,Khalid Al‐Ahmadi; Ali Al‐Zahrani,2013,10.3390/ijerph10115844,65,no,health / epidemiology; soil / geochemistry / pollution,GWR,non vérifié,health / epidemiology; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/1660-4601/10/11/5844/pdf?version=1403141182,"spatial dataset likely, manual verification required; citations=65; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/ijerph10115844,health mortality spatial regression GWR dataset
"The Effects of Weather Factors on Hand, Foot and Mouth Disease in Beijing",Weihua Dong; Xianen Li; Peng Yang; Hua Liao; Xiaoli Wang; Quanyi Wang,2016,10.1038/srep19247,61,no,health / epidemiology; climate / weather,GWR,non vérifié,health / epidemiology; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.nature.com/articles/srep19247.pdf,"spatial dataset likely, manual verification required; citations=61; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1038/srep19247,health mortality spatial regression GWR dataset
"Prediction mapping of human leptospirosis using ANN, GWR, SVM and GLM approaches",Ali Mohammadinia; Bahram Saeidian; Biswajeet Pradhan; Zeinab Ghaemi,2019,10.1186/s12879-019-4580-4,56,no,health / epidemiology; climate / weather; land use / biodiversity,GWR,non vérifié,health / epidemiology; climate / weather; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://bmcinfectdis.biomedcentral.com/counter/pdf/10.1186/s12879-019-4580-4,"spatial dataset likely, manual verification required; citations=56; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/s12879-019-4580-4,health mortality spatial regression GWR dataset
A Stepwise Downscaling Method for Generating High-Resolution Land Surface Temperature from AMSR-E Data,Quan Zhang; Ninglian Wang; Jie Cheng; Shuo Xu,2020,10.1109/jstars.2020.3022997,55,no,climate / weather,GWR,non vérifié,climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://ieeexplore.ieee.org/ielx7/4609443/8994817/09190035.pdf,"spatial dataset likely, manual verification required; citations=55; query=crop yield spatial regression GWR random forest dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1109/jstars.2020.3022997,crop yield spatial regression GWR random forest dataset
Spatial Differentiation of Non-Grain Production on Cultivated Land and Its Driving Factors in Coastal China,Yan Sun; Yuanyuan Chang; Junna Liu; Xiaoping Ge; Gangjun Liu; Fu Chen,2021,10.3390/su132313064,53,no,education / inequality; agriculture / crop yield; soil / geochemistry / pollution; land use / biodiversity,GWR,non vérifié,education / inequality; agriculture / crop yield; soil / geochemistry / pollution; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2071-1050/13/23/13064/pdf?version=1637908774,"spatial dataset likely, manual verification required; citations=53; query=crop yield spatial regression GWR random forest dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/su132313064,crop yield spatial regression GWR random forest dataset
Neighbourhood-level spatial determinants of residential solar photovoltaic adoption in the Netherlands,Zhang Jian-hua; Dimitris Ballas; Xiaolong Liu,2023,10.1016/j.renene.2023.02.118,52,no,housing / real estate; education / inequality,SDM,non vérifié,housing / real estate; education / inequality,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://research.rug.nl/files/593422579/1_s2.0_S0960148123002690_main.pdf,"spatial dataset likely, manual verification required; citations=52; query=spatial econometrics SAR SEM SDM dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.renene.2023.02.118,spatial econometrics SAR SEM SDM dataset regression
"Environmental Regulation, Urban-Rural Income Gap and Agricultural Green Total Factor Productivity",Guoqun Ma; Danyang Lv; Yuxi Luo; Tuanbiao Jiang,2022,10.3390/su14158995,51,no,education / inequality; agriculture / crop yield,SDM,non vérifié,education / inequality; agriculture / crop yield,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2071-1050/14/15/8995/pdf?version=1659493103,"empirical/case-study dataset likely, manual verification required; citations=51; query=spatial econometrics SAR SEM SDM dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/su14158995,spatial econometrics SAR SEM SDM dataset regression
Do the risk factors for type 2 diabetes mellitus vary by location? A spatial analysis of health insurance claims in Northeastern Germany using kernel density estimation and geographically weighted regression,Boris Kauhl; Jürgen Schweikart; Thomas Krafft; Andrea Keste; Marita Moskwyn,2016,10.1186/s12942-016-0068-2,51,no,education / inequality; health / epidemiology,GWR,non vérifié,education / inequality; health / epidemiology,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://ij-healthgeographics.biomedcentral.com/track/pdf/10.1186/s12942-016-0068-2,"spatial dataset likely, manual verification required; citations=51; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/s12942-016-0068-2,health mortality spatial regression GWR dataset
Analysis of Land Surface Temperature Driving Factors and Spatial Heterogeneity Research Based on Geographically Weighted Regression Model,Yin Zhi; Shan Liang; Lina Ke; Ruxin Yang,2020,10.1155/2020/2862917,51,no,health / epidemiology; climate / weather,GWR,non vérifié,health / epidemiology; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://downloads.hindawi.com/journals/complexity/2020/2862917.pdf,"spatial dataset likely, manual verification required; citations=51; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1155/2020/2862917,health mortality spatial regression GWR dataset
Causes of Sickness Absenteeism in Europe—Analysis from an Intercountry and Gender Perspective,Elżbieta Antczak; Katarzyna Miszczyńska,2021,10.3390/ijerph182211823,50,no,education / inequality; health / epidemiology,GWR,non vérifié,education / inequality; health / epidemiology,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/1660-4601/18/22/11823/pdf?version=1636696527,"spatial dataset likely, manual verification required; citations=50; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/ijerph182211823,health mortality spatial regression GWR dataset
"Using Contextualized <scp>G</scp>eographically <scp>W</scp>eighted <scp>R</scp>egression to Model the Spatial Heterogeneity of Land Prices in <scp>B</scp>eijing, <scp>C</scp>hina",Richard Harris; Guanpeng Dong; Wenzhong Zhang,2013,10.1111/tgis.12020,50,no,housing / real estate,GWR,non vérifié,housing / real estate,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/tgis.12020,"spatial dataset likely, manual verification required; citations=50; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1111/tgis.12020,health mortality spatial regression GWR dataset
Development of a global 30 m impervious surface map using multisource and multitemporal remote sensing datasets with the Google Earth Engine platform,Xiao Zhang; Liangyun Liu; Changshan Wu; Xidong Chen; Yuan Gao; Shuai Xie; et al.,2020,10.5194/essd-12-1625-2020,315,no,non vérifié,SAR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://essd.copernicus.org/articles/12/1625/2020/essd-12-1625-2020.pdf,"dataset mentioned in title/abstract, manual verification required; citations=315; query=spatial random forest geospatial machine learning dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.5194/essd-12-1625-2020,spatial random forest geospatial machine learning dataset regression
A Route Map for Successful Applications of Geographically Weighted Regression,Alexis Comber; Chris Brunsdon; Martin Charlton; Guanpeng Dong; Richard Harris; Binbin Lu; et al.,2022,10.1111/gean.12316,200,no,non vérifié,GWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gean.12316,"empirical/case-study dataset likely, manual verification required; citations=200; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1111/gean.12316,geographically weighted regression dataset GWR MGWR bandwidth
Spatial machine learning: new opportunities for regional science,Katarzyna Kopczewska,2021,10.1007/s00168-021-01101-x,109,no,non vérifié,GWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://link.springer.com/content/pdf/10.1007/s00168-021-01101-x.pdf,"spatial dataset likely, manual verification required; citations=109; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1007/s00168-021-01101-x,geographically weighted regression dataset GWR MGWR bandwidth
"An empirical analysis of dockless bike-sharing utilization and its explanatory factors: Case study from Shanghai, China",Aoyong Li; Pengxiang Zhao; Yizhe Huang; Kun Gao; Kay W. Axhausen,2020,10.1016/j.jtrangeo.2020.102828,104,no,non vérifié,GWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S0966692320302623/pdf,"empirical/case-study dataset likely, manual verification required; citations=104; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.jtrangeo.2020.102828,geographically weighted regression dataset GWR MGWR bandwidth
"Artificial Neural Network Optimized with a Genetic Algorithm for Seasonal Groundwater Table Depth Prediction in Uttar Pradesh, India",Kusum Pandey; Shiv Kumar; Anurag Malik; Alban Kuriqi,2020,10.3390/su12218932,98,no,non vérifié,GWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2071-1050/12/21/8932/pdf?version=1603940627,"spatial dataset likely, manual verification required; citations=98; query=crop yield spatial regression GWR random forest dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/su12218932,crop yield spatial regression GWR random forest dataset
Improving satellite-based PM2.5 estimates in China using Gaussian processes modeling in a Bayesian hierarchical setting,Wenxi Yu; Yang Liu; Zongwei Ma; Jun Bi,2017,10.1038/s41598-017-07478-0,68,no,non vérifié,GWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.nature.com/articles/s41598-017-07478-0.pdf,"spatial dataset likely, manual verification required; citations=68; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1038/s41598-017-07478-0,health mortality spatial regression GWR dataset
Modelling Seasonal GWR of Daily PM2.5 with Proper Auxiliary Variables for the Yangtze River Delta,Man Jiang; Weiwei Sun; Gang Yang; Dianfa Zhang,2017,10.3390/rs9040346,68,no,non vérifié,GWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/9/4/346/pdf?version=1491388160,"spatial dataset likely, manual verification required; citations=68; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs9040346,health mortality spatial regression GWR dataset
Eigenvector Spatial Filtering for Large Data Sets: Fixed and Random Effects Approaches,Daisuke Murakami; Daniel A. Griffith,2018,10.1111/gean.12156,60,no,non vérifié,ESF,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gean.12156,"dataset mentioned in title/abstract, manual verification required; citations=60; query=Moran eigenvector maps ESF spatial regression dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1111/gean.12156,Moran eigenvector maps ESF spatial regression dataset
A Forest of Forests: A Spatially Weighted and Computationally Efficient Formulation of Geographical Random Forests,Stefanos Georganos; Stamatis Kalogirou,2022,10.3390/ijgi11090471,98,no,education / inequality,spatial_random_forest,non vérifié,education / inequality,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2220-9964/11/9/471/pdf?version=1661933989,"spatial dataset likely, manual verification required; citations=98; query=crop yield spatial regression GWR random forest dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/ijgi11090471,crop yield spatial regression GWR random forest dataset
A Geographically Weighted Random Forest Approach to Predict Corn Yield in the US Corn Belt,Shahid Nawaz Khan; Dapeng Li; Maitiniyazi Maimaitijiang,2022,10.3390/rs14122843,76,no,agriculture / crop yield; soil / geochemistry / pollution; climate / weather,spatial_random_forest,non vérifié,agriculture / crop yield; soil / geochemistry / pollution; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/14/12/2843/pdf?version=1655367429,"spatial dataset likely, manual verification required; citations=76; query=crop yield spatial regression GWR random forest dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs14122843,crop yield spatial regression GWR random forest dataset
On the measurement of bias in geographically weighted regression models,Hanchen Yu; A. Stewart Fotheringham; Ziqi Li; Taylor M. Oshan; Levi John Wolf,2020,10.1016/j.spasta.2020.100453,60,no,non vérifié,GWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,non trouvé,"spatial dataset likely, manual verification required; citations=60; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.spasta.2020.100453,geographically weighted regression dataset GWR MGWR bandwidth
Geographical random forests: a spatial extension of the random forest algorithm to address spatial heterogeneity in remote sensing and population modelling,Stefanos Georganos; Taïs Grippa; Assane Gadiaga; Catherine Linard; Moritz Lennert; Sabine Vanhuysse; et al.,2019,10.1080/10106049.2019.1595177,524,no,non vérifié,spatial_random_forest,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.tandfonline.com/doi/pdf/10.1080/10106049.2019.1595177?needAccess=true,"empirical/case-study dataset likely, manual verification required; citations=524; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1080/10106049.2019.1595177,geographically weighted regression dataset GWR MGWR bandwidth
SoilGrids250m: Global gridded soil information based on machine learning,Tomislav Hengl; Jorge Mendes de Jesus; G.B.M. Heuvelink; M. Ruiperez González; Milan Kilibarda; Aleksandar Blagotić; et al.,2017,10.1371/journal.pone.0169748,4763,no,soil / geochemistry / pollution,boosting,non vérifié,soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0169748&type=printable,"spatial dataset likely, manual verification required; citations=4763; query=spatially varying coefficient model dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1371/journal.pone.0169748,spatially varying coefficient model dataset regression
An ensemble-based model of PM2.5 concentration across the contiguous United States with high spatiotemporal resolution,Qian Di; Heresh Amini; Liuhua Shi; Itai Kloog; Rachel Silvern; James T. Kelly; et al.,2019,10.1016/j.envint.2019.104909,739,no,health / epidemiology; transport / mobility,boosting,non vérifié,health / epidemiology; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S0160412019300650/pdf,"dataset mentioned in title/abstract, manual verification required; citations=739; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.envint.2019.104909,health mortality spatial regression GWR dataset
Soil nutrient maps of Sub-Saharan Africa: assessment of soil nutrient content at 250 m spatial resolution using machine learning,Tomislav Hengl; J.G.B. Leenaars; Keith Shepherd; Markus Walsh; G.B.M. Heuvelink; Tekalign Mamo; et al.,2017,10.1007/s10705-017-9870-x,321,no,agriculture / crop yield; soil / geochemistry / pollution,boosting; spatial_CV,non vérifié,agriculture / crop yield; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://link.springer.com/content/pdf/10.1007/s10705-017-9870-x.pdf,"spatial dataset likely, manual verification required; citations=321; query=spatial random forest geospatial machine learning dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1007/s10705-017-9870-x,spatial random forest geospatial machine learning dataset regression
Estimating spatio-temporal air temperature in London (UK) using machine learning and earth observation satellite data,Rochelle Schneider,2020,10.1016/j.jag.2020.102066,111,no,health / epidemiology; climate / weather,boosting,non vérifié,health / epidemiology; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S030324341831033X/pdf,"spatial dataset likely, manual verification required; citations=111; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.jag.2020.102066,health mortality spatial regression GWR dataset
Downscaling TRMM Monthly Precipitation Using Google Earth Engine and Google Cloud Computing,Abdelrazek Elnashar; Hongwei Zeng; Bingfang Wu; Ning Zhang; Fuyou Tian; Miao Zhang; et al.,2020,10.3390/rs12233860,66,no,agriculture / crop yield; climate / weather,boosting,non vérifié,agriculture / crop yield; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/12/23/3860/pdf,"spatial dataset likely, manual verification required; citations=66; query=crop yield spatial regression GWR random forest dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs12233860,crop yield spatial regression GWR random forest dataset
"Estimating PM2.5 Concentrations Using the Machine Learning RF-XGBoost Model in Guanzhong Urban Agglomeration, China",Lujun Lin; Yongchun Liang; Lei Liu; Yang Zhang; Danni Xie; Fang Yin; et al.,2022,10.3390/rs14205239,51,no,health / epidemiology; soil / geochemistry / pollution,boosting,non vérifié,health / epidemiology; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/14/20/5239/pdf?version=1666253121,"spatial dataset likely, manual verification required; citations=51; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs14205239,health mortality spatial regression GWR dataset
"Assessing the predictive capability of ensemble tree methods for landslide susceptibility mapping using XGBoost, gradient boosting machine, and random forest",Emrehan Kutluğ Şahin,2020,10.1007/s42452-020-3060-1,428,no,non vérifié,boosting,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://link.springer.com/content/pdf/10.1007/s42452-020-3060-1.pdf,"spatial dataset likely, manual verification required; citations=428; query=spatial random forest geospatial machine learning dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1007/s42452-020-3060-1,spatial random forest geospatial machine learning dataset regression
Forest Fire Susceptibility Modeling Using a Convolutional Neural Network for Yunnan Province of China,Guoli Zhang; Ming Wang; Kai Liu,2019,10.1007/s13753-019-00233-1,341,no,non vérifié,spatial_CV,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://link.springer.com/content/pdf/10.1007/s13753-019-00233-1.pdf,"dataset mentioned in title/abstract, manual verification required; citations=341; query=spatial random forest geospatial machine learning dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1007/s13753-019-00233-1,spatial random forest geospatial machine learning dataset regression
