dataset_id,fiche_path,action,formula_used,y_term_used,x_terms_used,formula_candidate_1,formula_candidate_2,recommended_candidate,source,reason
R_gstat_jura_jura.pred,wiki/datasets/fiches_datasets/R_gstat_jura_jura.pred.md,updated,Cd ~ Landuse + Rock,Cd,Landuse + Rock,Cd ~ Landuse + Rock,Cd ~ Landuse + Rock,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_gstat_jura_jura.val,wiki/datasets/fiches_datasets/R_gstat_jura_jura.val.md,updated,Cd ~ Landuse + Rock,Cd,Landuse + Rock,Cd ~ Landuse + Rock,Cd ~ Landuse + Rock,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_gstat_meuse.all_meuse.all,wiki/datasets/fiches_datasets/R_gstat_meuse.all_meuse.all.md,skipped,log(zinc)~sqrt(dist) (idem cadmium/lead/copper),log(zinc),sqrt(dist) (idem cadmium/lead/copper),,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_gstat_oxford_oxford,wiki/datasets/fiches_datasets/R_gstat_oxford_oxford.md,updated,PROFCLASS ~ ELEV + VAL1 + CHR1 + LIME1 + VAL2 + CHR2 + LIME2,PROFCLASS,ELEV + VAL1 + CHR1 + LIME1 + VAL2 + CHR2 + LIME2,PROFCLASS ~ ELEV + VAL1 + CHR1 + LIME1 + VAL2 + CHR2 + LIME2,PROFCLASS ~ ELEV + VAL1 + CHR1 + LIME1,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_GWmodel_DubVoter_Dub.voter,wiki/datasets/fiches_datasets/R_GWmodel_DubVoter_Dub.voter.md,skipped,GenEl2004~DiffAdd+LARent+SC1+Unempl+LowEduc+Age18_24+Age25_44+Age45_64,GenEl2004,DiffAdd+LARent+SC1+Unempl+LowEduc+Age18_24+Age25_44+Age45_64,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_GWmodel_EWHP_ewhp,wiki/datasets/fiches_datasets/R_GWmodel_EWHP_ewhp.md,updated,PurPrice ~ BldIntWr + BldPostW + Bld60s + Bld70s + Bld80s + TypDetch + TypFlat + FlrArea,PurPrice,BldIntWr + BldPostW + Bld60s + Bld70s + Bld80s + TypDetch + TypFlat + FlrArea,PurPrice ~ BldIntWr + BldPostW + Bld60s + Bld70s + Bld80s + TypDetch + TypFlat + FlrArea,PurPrice ~ BldIntWr + BldPostW + Bld60s + Bld70s,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_GWmodel_GeorgiaCounties_Gedu.counties,wiki/datasets/fiches_datasets/R_GWmodel_GeorgiaCounties_Gedu.counties.md,skipped,PctBach~PctRural+PctFB+PctBlack+PctEld,PctBach,PctRural+PctFB+PctBlack+PctEld,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_GWmodel_LondonBorough_londonborough,wiki/datasets/fiches_datasets/R_GWmodel_LondonBorough_londonborough.md,skipped,PURCHASE ~ FLOORSZ + PROF + BATH2,PURCHASE,FLOORSZ + PROF + BATH2,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_GWmodel_LondonHP_londonhp,wiki/datasets/fiches_datasets/R_GWmodel_LondonHP_londonhp.md,skipped,PURCHASE ~ FLOORSZ + PROF + BATH2,PURCHASE,"FLOORSZ, PROF, BATH2",,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_GWmodel_USelect_USelect2004,wiki/datasets/fiches_datasets/R_GWmodel_USelect_USelect2004.md,skipped,winner ~ unemploy + pctcoled + PEROVER65 + pcturban + WHITE,winner,unemploy + pctcoled + PEROVER65 + pcturban + WHITE,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_sfdep_guerry_nb_guerry_nb,wiki/datasets/fiches_datasets/R_sfdep_guerry_nb_guerry_nb.md,updated,crime_pers ~ wealth + commerce + clergy + crime_parents + donation_clergy + instruction + prostitutes + distance,crime_pers,wealth + commerce + clergy + crime_parents + donation_clergy + instruction + prostitutes + distance,crime_pers ~ wealth + commerce + clergy + crime_parents + donation_clergy + instruction + prostitutes + distance,crime_pers ~ wealth + commerce + clergy + crime_parents,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_sp_meuse.grid_ll_meuse.grid_ll,wiki/datasets/fiches_datasets/R_sp_meuse.grid_ll_meuse.grid_ll.md,updated,dist ~ part.a + part.b + soil + ffreq,dist,part.a + part.b + soil + ffreq,dist ~ part.a + part.b + soil + ffreq,dist ~ part.a + part.b + soil + ffreq,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_sp_meuse.grid_meuse.grid,wiki/datasets/fiches_datasets/R_sp_meuse.grid_meuse.grid.md,updated,dist ~ part.a + part.b + soil + ffreq,dist,part.a + part.b + soil + ffreq,dist ~ part.a + part.b + soil + ffreq,dist ~ part.a + part.b + soil + ffreq,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_sp_meuse_meuse,wiki/datasets/fiches_datasets/R_sp_meuse_meuse.md,skipped,log(zinc) ~ sqrt(dist),log(zinc),sqrt(dist),,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_spaMM_arabidopsis_arabidopsis,wiki/datasets/fiches_datasets/R_spaMM_arabidopsis_arabidopsis.md,skipped,"cbind(pos1046738, 1-pos1046738) ~ seasonal + Matern(1|LAT+LONG)","cbind(pos1046738, 1-pos1046738)",seasonal + Matern(1|LAT+LONG),,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_spaMM_Leuca_Leuca,wiki/datasets/fiches_datasets/R_spaMM_Leuca_Leuca.md,skipped,fec_div ~ sex + Matern(1|x+y %in% sex),fec_div,sex + Matern(1|x+y %in% sex),,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_spaMM_Loaloa_Loaloa,wiki/datasets/fiches_datasets/R_spaMM_Loaloa_Loaloa.md,skipped,"cbind(npos, ntot-npos) ~ elev1 + elev2 + elev3 + elev4 + maxNDVI1 + seNDVI + Matern(1|longitude+latitude)","cbind(npos, ntot-npos)",elev1 + elev2 + elev3 + elev4 + maxNDVI1 + seNDVI + Matern(1|longitude+latitude),,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_SpatialEpi_pennLC_sf_pennLC_sf,wiki/datasets/fiches_datasets/R_SpatialEpi_pennLC_sf_pennLC_sf.md,updated,cases ~ population + race + gender + age + smoking,cases,population + race + gender + age + smoking,cases ~ population + race + gender + age + smoking,cases ~ population + race + gender + age,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_spatstat.data_nbfires_nbfires,wiki/datasets/fiches_datasets/R_spatstat.data_nbfires_nbfires.md,updated,fnl.size ~ year + fire.type + dis.julian + out.julian + cause + ign.src,fnl.size,year + fire.type + dis.julian + out.julian + cause + ign.src,fnl.size ~ year + fire.type + dis.julian + out.julian + cause + ign.src,fnl.size ~ year + fire.type + dis.julian + out.julian,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_spData_depmunic_depmunic,wiki/datasets/fiches_datasets/R_spData_depmunic_depmunic.md,skipped,airbnb ~ museums + population + greensp + area,airbnb,museums + population + greensp + area,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_spData_house_house,wiki/datasets/fiches_datasets/R_spData_house_house.md,updated,price ~ yrbuilt + stories + TLA + wall + beds + baths + halfbaths + frontage,price,yrbuilt + stories + TLA + wall + beds + baths + halfbaths + frontage,price ~ yrbuilt + stories + TLA + wall + beds + baths + halfbaths + frontage,price ~ yrbuilt + stories + TLA + wall,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_spData_nz_nz,wiki/datasets/fiches_datasets/R_spData_nz_nz.md,updated,Population ~ Land_area + Island,Population,Land_area + Island,Population ~ Land_area + Island,Population ~ Land_area + Island,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_spData_properties_properties,wiki/datasets/fiches_datasets/R_spData_properties_properties.md,updated,price ~ size + age + dist_metro,price,size + age + dist_metro,price ~ size + age + dist_metro,price ~ size + age + dist_metro,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_spData_world_world,wiki/datasets/fiches_datasets/R_spData_world_world.md,updated,lifeExp ~ area_km2 + continent + region_un + subregion + type,lifeExp,area_km2 + continent + region_un + subregion + type,lifeExp ~ area_km2 + continent + region_un + subregion + type,lifeExp ~ area_km2 + continent + region_un + subregion,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_spDataLarge_lsl_lsl,wiki/datasets/fiches_datasets/R_spDataLarge_lsl_lsl.md,skipped,lslpts ~ slope + cplan + cprof + elev + log10_carea,lslpts,slope + cplan + cprof + elev + log10_carea,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_spDataLarge_pol_pres15_pol_pres15,wiki/datasets/fiches_datasets/R_spDataLarge_pol_pres15_pol_pres15.md,updated,I_turnout ~ types + I_entitled_to_vote + II_entitled_to_vote + I_voters_voting_by_proxy + I_voters_voting_by_declaration + I_postal_voting_envelopes_received + I_invalid_votes + II_voters_voting_by_proxy,I_turnout,types + I_entitled_to_vote + II_entitled_to_vote + I_voters_voting_by_proxy + I_voters_voting_by_declaration + I_postal_voting_envelopes_received + I_invalid_votes + II_voters_voting_by_proxy,I_turnout ~ types + I_entitled_to_vote + II_entitled_to_vote + I_voters_voting_by_proxy + I_voters_voting_by_declaration + I_postal_voting_envelopes_received + I_invalid_votes + II_voters_voting_by_proxy,I_turnout ~ types + I_entitled_to_vote + II_entitled_to_vote + I_voters_voting_by_proxy,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
R_spdep_oldcol_COL.OLD,wiki/datasets/fiches_datasets/R_spdep_oldcol_COL.OLD.md,skipped,CRIME ~ HOVAL + INC,CRIME,HOVAL + INC,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_surveillance_hagelloch_hagelloch.df,wiki/datasets/fiches_datasets/R_surveillance_hagelloch_hagelloch.df.md,skipped,tPRO ~ AGE + SEX + CL + C + CA + NI + GE + x.loc,tPRO,AGE + SEX + CL + C + CA + NI + GE + x.loc,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
R_surveillance_hagelloch_hagelloch,wiki/datasets/fiches_datasets/R_surveillance_hagelloch_hagelloch.md,skipped,event ~ start + stop + atRiskY + AGE + SEX + CL + household + nothousehold,event,start + stop + atRiskY + AGE + SEX + CL + household + nothousehold,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
